termKey,canonical,aliases,tier,df,domains,topN出处,sampleEvidence,decision,note
专利许可使用费,专利许可使用费,许可使用费,high,8,6,implementation-rules:rule-06-01；patent-law:law-06-03；patent-law:law-07-08；examination-guideline:05-11-01；ic-layout-regulations-2026:icld-05-03,专利许可使用费支付方式、标准,,
保护范围,保护范围,专利权的保护范围,high,7,4,examination-guideline:02-02-01；examination-guideline:02-03-06；implementation-rules:rule-11-18；mechanical-drafting-rules:mech-01-03-06；mechanical-drafting-rules:mech-02-02,发明或者实用新型专利权的保护范围以其权利要求的内容为准,,
被许可人,被许可人,,high,7,6,copyright-law-2020:cpl-04-02-02；copyright-law-2020:cpl-04-03-03；copyright-law-rules-2013:cplr-24；examination-guideline:05-11-02；ip-evidence-rules-2020:ipev-32,被许可人,,
发明内容,发明内容,发明或者实用新型内容,high,7,4,chemistry-drafting-rules:chem-01-04-04；chemistry-drafting-rules:chem-02-03-02；chemistry-drafting-rules:chem-02-03-03；examination-guideline:02-02-02-02；implementation-rules:rule-02-04,发明内容的主要作用是对权利要求书中所要求保护的技术方案进行支持,,
共有商标,共有商标,,high,7,1,trademark-exam-guide-2021:tmeg-03-01-01-02-01；trademark-exam-guide-2021:tmeg-03-02-01-03-02；trademark-exam-guide-2021:tmeg-03-02-02-03；trademark-exam-guide-2021:tmeg-03-02-04-02；trademark-exam-guide-2021:tmeg-04-06-03-03,属于共有商标的，申请人应当在申请书,,
技术领域,技术领域,所属技术领域,high,7,4,chemistry-drafting-rules:chem-01-04-02；chemistry-drafting-rules:chem-02-03-01；examination-guideline:02-02-02-02；examination-guideline:02-07-05；examination-guideline:02-08-04-05,发明的技术领域应当是要求保护的发明技术方案所属或者直接应用的具体技术领域,,
进入日,进入日,,high,7,2,examination-guideline:03-01-02；examination-guideline:03-01-05-12；implementation-rules:rule-11-04；implementation-rules:rule-11-06；implementation-rules:rule-11-07,进入日是指向专利局办理并满足专利法实施细则第一百二十一条第一款,,
具体实施方式,具体实施方式,,high,7,5,chemistry-drafting-rules:chem-01-04-06；chemistry-drafting-rules:chem-02-03-03；examination-guideline:01-02-07；examination-guideline:02-02-02-02；implementation-rules:rule-02-04,具体实施方式是通过具体的实验证明权利要求所要求保护的技术方案确实是可以实现的,,
明显实质性缺陷,明显实质性缺陷,,high,7,1,examination-guideline:01-01-01；examination-guideline:01-02-03；examination-guideline:01-03-01；examination-guideline:01-03-03；examination-guideline:04-02-01,申请文件的明显实质性缺陷审查,,
权利要求书,权利要求书,,high,7,3,examination-guideline:01-02-07；examination-guideline:02-02-01；examination-guideline:05-01-05；examination-guideline:05-03-02；implementation-rules:rule-03-02,权利要求书应当以说明书为依据，清楚、简要地限定要求专利保护的范围,,
上位概念,上位概念,一般概念,high,7,5,chemistry-drafting-rules:chem-01-04-04；chemistry-drafting-rules:chem-02-02；examination-guideline:02-03-03；examination-guideline:02-10-05；infringement-guide:infr-02-02,如从上位概念— —中位概念—— 具体下位概念,,
说明书,说明书,,high,7,3,examination-guideline:01-02-07；examination-guideline:02-02-01；examination-guideline:05-03-02；implementation-rules:rule-02-04；implementation-rules:rule-03-02,说明书应当对实用新型作出清楚、完整的说明,,
相关市场,相关市场,,high,7,1,anti-monopoly-law-2022:aml-01-15；anti-monopoly-law-2022:aml-03-01；anti-monopoly-law-2022:aml-03-02；anti-monopoly-law-2022:aml-03-03；anti-monopoly-law-2022:aml-04-04,本法所称相关市场，是指经营者在一定时期内就特定商品或者服务,,
优先权要求费,优先权要求费,,high,7,2,examination-guideline:01-01-06-02；examination-guideline:03-01-05-02；examination-guideline:05-02-01；examination-guideline:06-02-06-02；implementation-rules:rule-10-01,应当在缴纳申请费的同时缴纳优先权要求费,,
注册商标,注册商标,,high,7,1,trademark-exam-guide-2021:tmeg-03-01-04-04；trademark-exam-guide-2021:tmeg-03-02-01-04；trademark-exam-guide-2021:tmeg-05-04-03-04；trademark-exam-guide-2021:tmeg-05-04-04-04；trademark-exam-guide-2021:tmeg-06-01-03-01,注册商标,,
驳回理由,驳回理由,,high,6,2,examination-guideline:01-03-01；examination-guideline:02-08-06；examination-guideline:04-02-03；examination-guideline:06-02-01；implementation-rules:rule-03-20,经初步审查没有发现驳回理由的,,
缔约方,缔约方,,high,6,1,trademark-exam-guide-2021:tmeg-04-01-02；trademark-exam-guide-2021:tmeg-04-01-05-05；trademark-exam-guide-2021:tmeg-04-02-03-04；trademark-exam-guide-2021:tmeg-04-02-05-02-02；trademark-exam-guide-2021:tmeg-04-02-10-03,《商标国际注册马德里协定有关议定书》缔约方（以下简称缔约方）,,
公告送达,公告送达,,high,6,3,examination-guideline:04-03-07；examination-guideline:05-06-02；implementation-rules:rule-01-04；implementation-rules:rule-09-02；trademark-exam-guide-2021:tmeg-01-01-04-03-01-01-01,采用公告送达的，自公告之日起满一个月，视为已经送达,,
管理专利工作的部门,管理专利工作的部门,,high,6,2,implementation-rules:rule-08-01；implementation-rules:rule-08-08；patent-law:law-01-03；patent-law:law-06-01；patent-law:law-07-02,省、自治区、直辖市人民政府管理专利工作的部门,,
规费,规费,,high,6,1,trademark-exam-guide-2021:tmeg-01-02-06-02；trademark-exam-guide-2021:tmeg-04-01-05-10；trademark-exam-guide-2021:tmeg-04-01-05-11；trademark-exam-guide-2021:tmeg-04-01-06-02；trademark-exam-guide-2021:tmeg-04-02-13,不需要缴纳规费,,
国际续展,国际续展,,high,6,1,trademark-exam-guide-2021:tmeg-04-02-02；trademark-exam-guide-2021:tmeg-04-02-03-01；trademark-exam-guide-2021:tmeg-04-02-12-02；trademark-exam-guide-2021:tmeg-04-02-12-03；trademark-exam-guide-2021:tmeg-04-06-02-02-01,国际续展,,
国际注册日,国际注册日,,high,6,3,examination-guideline:06-01-03；examination-guideline:06-02-04；examination-guideline:06-02-06-02；implementation-rules:rule-12-02；trademark-exam-guide-2021:tmeg-04-05-01-05,该国际注册日视为专利法第二十八条所称的申请日,,
国务院反垄断执法机构,国务院反垄断执法机构,,high,6,1,anti-monopoly-law-2022:aml-01-13；anti-monopoly-law-2022:aml-04-02；anti-monopoly-law-2022:aml-04-03；anti-monopoly-law-2022:aml-04-04；anti-monopoly-law-2022:aml-04-05,国务院反垄断执法机构负责反垄断统一执法工作,,
开放许可声明,开放许可声明,专利开放许可声明,high,6,3,examination-guideline:05-11-01；examination-guideline:05-11-02；examination-guideline:05-11-03；implementation-rules:rule-06-01；implementation-rules:rule-06-04,提出开放许可声明的专利权人应当声明许可任何单位,,
前序部分,前序部分,,high,6,4,examination-guideline:01-02-07；examination-guideline:01-04-03；examination-guideline:02-02-03-03；implementation-rules:rule-02-08；infringement-guide:infr-01-03,前序部分应写明要求保护的实用新型技术方案的主题名称,,
请求书,请求书,,high,6,3,examination-guideline:05-03-02；implementation-rules:rule-02-03；implementation-rules:rule-03-02；implementation-rules:rule-03-03；patent-law:law-03-01,申请文件中有请求书,,
市场支配地位,市场支配地位,,high,6,1,anti-monopoly-law-2022:aml-01-03；anti-monopoly-law-2022:aml-01-07；anti-monopoly-law-2022:aml-03-01；anti-monopoly-law-2022:aml-03-02；anti-monopoly-law-2022:aml-03-03,经营者滥用市场支配地位,,
视为未提出通知书,视为未提出通知书,,high,6,1,examination-guideline:01-02-08；examination-guideline:01-03-10；examination-guideline:03-01-05-08；examination-guideline:05-01-04；examination-guideline:05-03-04,审查员应当发出视为未提出通知书,,
视为未提交,视为未提交,,high,6,3,examination-guideline:01-01-01；examination-guideline:05-01-02；implementation-rules:rule-03-10；trademark-exam-guide-2021:tmeg-01-01-05-01-01-03；trademark-exam-guide-2021:tmeg-01-04-05-02,直接作出文件视为未提交的决定,,
无效宣告程序,无效宣告程序,,high,6,2,examination-guideline:04-01-02；examination-guideline:04-03-01；examination-guideline:04-04-04；examination-guideline:04-08-01；examination-guideline:05-04-03,无效宣告请求审查程序（简称无效宣告程序）,,
英文分卡,英文分卡,,high,6,1,trademark-exam-guide-2021:tmeg-02-02-03；trademark-exam-guide-2021:tmeg-02-02-05；trademark-exam-guide-2021:tmeg-02-02-06；trademark-exam-guide-2021:tmeg-02-02-07；trademark-exam-guide-2021:tmeg-02-02-08,英文分卡：BLUEFOREST；BLUE；FOREST,,
整体视觉效果,整体视觉效果,,high,6,1,trademark-exam-guide-2021:tmeg-06-06-05-02-04-01-01；trademark-exam-guide-2021:tmeg-06-06-05-02-04-02-01；trademark-exam-guide-2021:tmeg-06-06-05-02-04-02-02；trademark-exam-guide-2021:tmeg-06-07-04-02-01；trademark-exam-guide-2021:tmeg-06-07-04-02-03-01,整体视觉效果与他人在先的三维标志商标相同或者近似,,
主动修改,主动修改,,high,6,2,examination-guideline:01-01-07；examination-guideline:01-02-08；examination-guideline:01-03-10；examination-guideline:02-08-04-01；examination-guideline:02-08-05-02,根据专利法实施细则第五十七条的规定提出了主动修改文本的,,
转让人,转让人,转让方,high,6,1,trademark-exam-guide-2021:tmeg-03-02-01-02-02；trademark-exam-guide-2021:tmeg-03-02-01-02-03-01；trademark-exam-guide-2021:tmeg-03-02-01-02-03-02；trademark-exam-guide-2021:tmeg-03-02-01-02-03-03；trademark-exam-guide-2021:tmeg-03-02-01-03-01,转让人章戳处盖章,,
保密责任,保密责任,,high,5,3,examination-guideline:05-04-05；ic-layout-regulations-2026:icld-01-05；ic-layout-regulations-2026:icld-03-14；patent-law:law-01-18；patent-law:law-01-21,专利局相关部门对尚未审结的复审和无效案卷负有保密责任,,
表演者,表演者,,high,5,2,copyright-law-2020:cpl-04-03-02；copyright-law-2020:cpl-04-03-03；copyright-law-2020:cpl-05-04；copyright-law-2020:cpl-06-05；copyright-law-rules-2013:cplr-05,应当同表演者订立合同,,
不正当手段,不正当手段,,high,5,1,trademark-exam-guide-2021:tmeg-06-01-03-07；trademark-exam-guide-2021:tmeg-06-15-02-01；trademark-exam-guide-2021:tmeg-06-15-02-02；trademark-exam-guide-2021:tmeg-06-15-02-04；trademark-exam-guide-2021:tmeg-06-16-02-01,不正当手段是指商标申请人或者商标代理机构在申请商标注册或者办理其他商标事宜时,,
产地误认,产地误认,,high,5,1,trademark-exam-guide-2021:tmeg-06-03-02-02-07-02-01；trademark-exam-guide-2021:tmeg-06-03-02-02-07-02-02；trademark-exam-guide-2021:tmeg-06-03-02-02-07-02-03；trademark-exam-guide-2021:tmeg-06-03-02-02-07-02-04；trademark-exam-guide-2021:tmeg-06-03-02-02-09-01-03,申请人并非来自该地，使用在指定商品上，容易使公众发生产地误认的,,
撤回申请,撤回申请,,high,5,1,trademark-exam-guide-2021:tmeg-01-05-01-09-02；trademark-exam-guide-2021:tmeg-01-05-01-09-03；trademark-exam-guide-2021:tmeg-01-05-02-07；trademark-exam-guide-2021:tmeg-03-02-01-10；trademark-exam-guide-2021:tmeg-04-02-14,撤回申请,,
地理标志集体商标,地理标志集体商标,,high,5,1,trademark-exam-guide-2021:tmeg-03-02-01-02-03-03；trademark-exam-guide-2021:tmeg-06-03-02-02-09-04；trademark-exam-guide-2021:tmeg-06-09-07-01；trademark-exam-guide-2021:tmeg-06-09-07-02-03；trademark-exam-guide-2021:tmeg-06-09-07-05-01-01,地理标志集体商标和地理标志证明商标特有事项的审查,,
发表权,发表权,,high,5,2,copyright-law-2020:cpl-02-01-02；copyright-law-2020:cpl-02-02-10；copyright-law-2020:cpl-02-03-02；copyright-law-2020:cpl-06-04；copyright-law-rules-2013:cplr-17,发表权，即决定作品是否公之于众的权利,,
法定期限,法定期限,,high,5,2,examination-guideline:05-07-01；trademark-exam-guide-2021:tmeg-01-04-03-02-02；trademark-exam-guide-2021:tmeg-04-02-12-03；trademark-exam-guide-2021:tmeg-05-01-06-01；trademark-exam-guide-2021:tmeg-06-19-04-01,法定期限是指专利法及其实施细则规定的各种期限,,
方法权利要求,方法权利要求,活动的权利要求,high,5,2,chemistry-drafting-rules:chem-01-03-01；chemistry-drafting-rules:chem-01-03-02；chemistry-drafting-rules:chem-02-02；examination-guideline:02-02-03-01；examination-guideline:02-09-05,也可以采用“方法权利要求”来保护,,
非自愿许可,非自愿许可,,high,5,1,ic-layout-regulations-2026:icld-04-06；ic-layout-regulations-2026:icld-04-07；ic-layout-regulations-2026:icld-04-08；ic-layout-regulations-2026:icld-04-09；ic-layout-regulations-2026:icld-04-10,国务院知识产权行政部门可以给予使用其布图设计的非自愿许可,,
附加技术特征,附加技术特征,附加的技术特征,high,5,4,chemistry-drafting-rules:chem-01-03-03；examination-guideline:02-02-03-01；examination-guideline:02-07-03；infringement-guide:infr-01-02；mechanical-drafting-rules:mech-01-02-03,附加的技术特征可以是进一步限定的技术特征，也可以是新引出的技术特征,,
功能性,功能性,非功能性,high,5,1,trademark-exam-guide-2021:tmeg-06-01-02-01-01；trademark-exam-guide-2021:tmeg-06-01-02-02；trademark-exam-guide-2021:tmeg-06-06-05-02-03-01；trademark-exam-guide-2021:tmeg-06-06-05-02-03-02；trademark-exam-guide-2021:tmeg-06-06-05-02-03-03,具有功能性不得注册的三维标志,,
国际申请日,国际申请日,,high,5,3,examination-guideline:03-01-03；examination-guideline:03-01-05-11；implementation-rules:rule-11-02；implementation-rules:rule-11-17；oa-response-guide:oa-01-03,国际申请日是在国际阶段由受理局确定的。,,
合理开支,合理开支,,high,5,5,anti-unfair-competition-2025:aucl-04-01；copyright-law-2020:cpl-05-06；customs-ip-protection-2018:cusr-03-14；ic-layout-regulations-2026:icld-05-03；patent-law:law-07-08,经营者为制止侵权行为所支付的合理开支,,
基础商标,基础商标,,high,5,1,trademark-exam-guide-2021:tmeg-04-01-03-02；trademark-exam-guide-2021:tmeg-04-01-07-03；trademark-exam-guide-2021:tmeg-04-02-04-03；trademark-exam-guide-2021:tmeg-04-05-01-02；trademark-exam-guide-2021:tmeg-04-06-06-02,基础商标可以是已在中国获得注册的商标,,
领土延伸新申请,领土延伸新申请,更正转新申请,high,5,1,trademark-exam-guide-2021:tmeg-04-05-03-02-01；trademark-exam-guide-2021:tmeg-04-05-03-02-03；trademark-exam-guide-2021:tmeg-04-05-03-02-04；trademark-exam-guide-2021:tmeg-04-05-03-02-05；trademark-exam-guide-2021:tmeg-04-05-03-02-06,更正分拣为领土延伸新申请（更正转新申请）,,
录音录像制作者,录音录像制作者,,high,5,1,copyright-law-2020:cpl-04-03-01；copyright-law-2020:cpl-04-03-02；copyright-law-2020:cpl-04-03-03；copyright-law-2020:cpl-05-04；copyright-law-2020:cpl-06-05,录音录像制作者使用他人作品制作录音录像制品,,
录音制品,录音制品,,high,5,2,copyright-law-2020:cpl-04-03-01；copyright-law-2020:cpl-04-04-01；copyright-law-rules-2013:cplr-05；copyright-law-rules-2013:cplr-31；copyright-law-rules-2013:cplr-34,已经合法录制为录音制品的音乐作品,,
商标近似,商标近似,,high,5,1,trademark-exam-guide-2021:tmeg-06-01-03-03；trademark-exam-guide-2021:tmeg-06-05-03-01；trademark-exam-guide-2021:tmeg-06-07-04-02-03-01；trademark-exam-guide-2021:tmeg-06-07-04-02-03-02；trademark-exam-guide-2021:tmeg-07,商标近似是指文字、图形、字母、数字、三维标志、颜色组合和声音等商标的构成要素,,
商标注册人,商标注册人,,high,5,1,trademark-exam-guide-2021:tmeg-03-01-02-02；trademark-exam-guide-2021:tmeg-03-02-01-03-01；trademark-exam-guide-2021:tmeg-03-02-02-03；trademark-exam-guide-2021:tmeg-03-03-03；trademark-exam-guide-2021:tmeg-05-01-03-02,变更代理机构的申请人应当是商标注册人,,
申请附加费,申请附加费,,high,5,2,examination-guideline:03-01-07；examination-guideline:05-02-01；implementation-rules:rule-10-01；implementation-rules:rule-10-03；implementation-rules:rule-11-04,未缴纳或未缴足申请附加费的,,
视听作品,视听作品,,high,5,1,copyright-law-2020:cpl-01-03；copyright-law-2020:cpl-02-02-07；copyright-law-2020:cpl-02-03-02；copyright-law-2020:cpl-04-04-04；copyright-law-2020:cpl-05-11,视听作品,,
视为放弃,视为放弃,,high,5,2,implementation-rules:rule-03-19；implementation-rules:rule-09-02；trademark-exam-guide-2021:tmeg-03-01-01-06-03；trademark-exam-guide-2021:tmeg-03-02-01-09-03；trademark-exam-guide-2021:tmeg-06-01-02-06,视为放弃取得专利权的权利,,
视为未要求优先权,视为未要求优先权,,high,5,3,examination-guideline:01-01-06-02；examination-guideline:01-02-15；examination-guideline:06-02-06-02；implementation-rules:rule-10-03；patent-law:law-03-05,审查员应当发出视为未要求优先权通知书,,
收获材料,收获材料,,high,5,1,plant-variety-regulations-2025:pvpr-02-01；plant-variety-regulations-2025:pvpr-03-02；plant-variety-regulations-2025:pvpr-07-03；plant-variety-regulations-2025:pvpr-07-05；plant-variety-regulations-2025:pvpr-08-01,由未经许可使用授权品种的繁殖材料而获得的收获材料,,
说明书附图,说明书附图,附图,high,5,3,examination-guideline:01-02-07；examination-guideline:02-02-02-03；examination-guideline:05-03-02；mechanical-drafting-rules:mech-01-03-07；implementation-rules:rule-03-05,附图是说明书的一个组成部分,,
特征部分,特征部分,,high,5,3,examination-guideline:01-02-07；examination-guideline:01-04-03；examination-guideline:02-02-03-03；implementation-rules:rule-02-08；infringement-guide:infr-01-03,特征部分使用“其特征是……”或者类似的用语,,
未注册商标,未注册商标,,high,5,1,trademark-exam-guide-2021:tmeg-06-01-01-02；trademark-exam-guide-2021:tmeg-06-10-05-04-04；trademark-exam-guide-2021:tmeg-06-15-02-01；trademark-exam-guide-2021:tmeg-06-15-02-03-01；trademark-exam-guide-2021:tmeg-06-15-02-03-02,在先使用的未注册商标依法予以一定程度的保护,,
一并转让,一并转让,,high,5,1,trademark-exam-guide-2021:tmeg-03-02-01-05；trademark-exam-guide-2021:tmeg-04-06-03-03；trademark-exam-guide-2021:tmeg-04-06-03-06；trademark-exam-guide-2021:tmeg-04-06-04-03；trademark-exam-guide-2021:tmeg-04-06-04-06,应当一并转让,,
邮戳日,邮戳日,,high,5,2,patent-law:law-03-03；trademark-exam-guide-2021:tmeg-01-03-03-01-01；trademark-exam-guide-2021:tmeg-03-03-05；trademark-exam-guide-2021:tmeg-05-01-05-02；trademark-exam-guide-2021:tmeg-05-03-01-03,如果申请文件是邮寄的，以寄出的邮戳日为申请日,,
在先申请,在先申请,第一次提出的专利申请,high,5,2,examination-guideline:01-01-06-02；examination-guideline:01-02-15；examination-guideline:02-08-04-06；implementation-rules:rule-02-02；implementation-rules:rule-12-04,在先申请应当是发明或者实用新型专利申请，不应当是外观设计专利申请,,
质证,质证,,high,5,3,examination-guideline:04-04-05；examination-guideline:04-08-04；ip-evidence-rules-2020:ipev-23；ip-evidence-rules-2020:ipev-27；trademark-exam-guide-2021:tmeg-01-03-06-02-02,然后由专利权人进行质证,,
著录项目,著录项目,,high,5,1,examination-guideline:03-01-06；examination-guideline:04-01-06；examination-guideline:05-04-03；examination-guideline:05-06-01；examination-guideline:06-02-05,著录项目包括：国际专利分类号、申请号、公布号,,
专利代理师,专利代理师,,high,5,2,examination-guideline:01-01-04-01；examination-guideline:01-01-06-01；examination-guideline:05-04-05；implementation-rules:rule-02-03；implementation-rules:rule-13-02,专利代理师，是指获得专利代理师资格证书、在合法的专利代理机构执业的人员,,
巴黎公约,巴黎公约,保护工业产权巴黎公约,high,4,1,examination-guideline:01-01-04-01；examination-guideline:01-01-06-02；examination-guideline:01-03-05；examination-guideline:03-01-03,保护工业产权巴黎公约（以下简称巴黎公约）成员国,,
保护作品完整权,保护作品完整权,,high,4,2,copyright-law-2020:cpl-02-01-02；copyright-law-2020:cpl-02-03-01；copyright-law-2020:cpl-03-06；copyright-law-rules-2013:cplr-15,保护作品完整权，即保护作品不受歪曲、篡改的权利,,
保密原则,保密原则,,high,4,1,examination-guideline:01-01-02；examination-guideline:01-02-02；examination-guideline:01-03-02；examination-guideline:04-03-02,对于尚未公布、公告的专利申请文件和与专利申请有关的其他内容,,
被控侵权人,被控侵权人,,high,4,3,examination-guideline:05-10-01；examination-guideline:05-10-02；implementation-rules:rule-03-21；patent-law:law-07-03,专利权人、利害关系人或者被控侵权人,,
补充检索,补充检索,,high,4,1,examination-guideline:02-07-11；examination-guideline:02-08-04-11；examination-guideline:03-02-04；examination-guideline:05-10-06,为了获得更适合的对比文件，审查员应当对申请进行补充检索,,
产品权利要求,产品权利要求,物的权利要求,high,4,2,chemistry-drafting-rules:chem-01-03-01；chemistry-drafting-rules:chem-01-03-02；chemistry-drafting-rules:chem-02-02；examination-guideline:02-02-03-01,又可以采用将新化合物与其他物质组合形成新产品的“产品权利要求”来保护,,
撤回专利申请,撤回专利申请,主动撤回,high,4,3,implementation-rules:rule-02-25；implementation-rules:rule-13-01；patent-law:law-03-07；examination-guideline:05-04-05,申请人撤回专利申请的，应当向国务院专利行政部门提出声明,,
程序节约原则,程序节约原则,,high,4,1,examination-guideline:01-01-02；examination-guideline:01-02-02；examination-guideline:01-03-02；examination-guideline:02-08-02,审查员应当尽可能提高审查效率，缩短审查过程,,
错缴,错缴,,high,4,2,examination-guideline:05-02-04；trademark-exam-guide-2021:tmeg-05-02-04-01；trademark-exam-guide-2021:tmeg-05-02-04-02-01；trademark-exam-guide-2021:tmeg-05-02-04-02-02,多缴、重缴、错缴专利费用的,,
担保金,担保金,担保,high,4,1,customs-ip-protection-2018:cusr-03-03；customs-ip-protection-2018:cusr-03-08；customs-ip-protection-2018:cusr-03-13；customs-ip-protection-2018:cusr-03-14,向海关提供不超过货物等值的担保，用于赔偿可能因申请不当给收货人、发货人造成的损失,,
第一次审查意见通知书,第一次审查意见通知书,,high,4,1,examination-guideline:02-08-04-03；examination-guideline:02-08-04-04；examination-guideline:02-08-04-10；examination-guideline:05-02-04,审查员不必检索即可发出第一次审查意见通知书,,
多缴,多缴,,high,4,2,examination-guideline:05-02-04；trademark-exam-guide-2021:tmeg-05-02-04-01；trademark-exam-guide-2021:tmeg-05-02-04-02-01；trademark-exam-guide-2021:tmeg-05-02-04-02-02,多缴、重缴、错缴专利费用的,,
多项从属权利要求,多项从属权利要求,,high,4,4,chemistry-drafting-rules:chem-01-01-02；examination-guideline:02-02-03-03；implementation-rules:rule-02-09；mechanical-drafting-rules:mech-01-01-02,一项引用两项以上权利要求的多项从属权利要求,,
恶意,恶意,,high,4,1,trademark-exam-guide-2021:tmeg-06-01-03-07；trademark-exam-guide-2021:tmeg-06-05-03-02-02-04；trademark-exam-guide-2021:tmeg-06-14-02-02-08-02；trademark-exam-guide-2021:tmeg-06-15-02-05,恶意是指商标申请人或者商标代理机构在申请商标注册或者办理其他商标事宜时,,
发明专利申请单行本,发明专利申请单行本,单行本,high,4,2,examination-guideline:03-01-06；examination-guideline:05-04-05；examination-guideline:05-08-02；implementation-rules:rule-09-03,发明专利申请单行本的出版两种形式完成,,
分类号,分类号,国际专利分类号,high,4,1,examination-guideline:01-03-12；examination-guideline:01-04-01；examination-guideline:02-07-05；examination-guideline:02-08-03,分类号由“LOC”“（版本号）”“Cl.”“大类号－小类号”组合而成,,
复审决定,复审决定,复审请求审查决定,high,4,2,examination-guideline:04-02-05；examination-guideline:04-02-06；examination-guideline:04-02-07；implementation-rules:rule-04-03,复审请求审查决定（简称复审决定）分为下列三种类型,,
公布印刷费,公布印刷费,,high,4,2,examination-guideline:05-02-01；implementation-rules:rule-10-01；implementation-rules:rule-10-03；implementation-rules:rule-11-04,公布印刷费是指发明专利申请公布需要缴纳的费用,,
国际初步审查,国际初步审查,,high,4,1,examination-guideline:03-01-01；examination-guideline:03-01-03；examination-guideline:03-02-01；examination-guideline:03-02-05,参考国际检索和国际初步审查结果进行的实质审查,,
合作作品,合作作品,,high,4,2,copyright-law-2020:cpl-02-02-04；copyright-law-2020:cpl-02-03-02；copyright-law-rules-2013:cplr-09；copyright-law-rules-2013:cplr-14,两人以上合作创作的作品，著作权由合作作者共同享有,,
合作作者,合作作者,,high,4,2,copyright-law-2020:cpl-02-02-04；copyright-law-2020:cpl-05-04；copyright-law-rules-2013:cplr-09；copyright-law-rules-2013:cplr-14,没有参加创作的人，不能成为合作作者,,
监督检测能力,监督检测能力,,high,4,1,trademark-exam-guide-2021:tmeg-03-02-01-02-03-02；trademark-exam-guide-2021:tmeg-03-02-01-02-03-03；trademark-exam-guide-2021:tmeg-06-09-07-05-02；trademark-exam-guide-2021:tmeg-06-09-07-05-04,受让人监督检测能力证明,,
进入声明,进入声明,进入国家阶段的书面声明,high,4,1,examination-guideline:01-02-15；examination-guideline:03-01-03；examination-guideline:03-01-05-11；examination-guideline:03-02-03,进入国家阶段的书面声明（以下简称进入声明）,,
尼斯分类,尼斯分类,商标注册用商品和服务国际分类,high,4,1,trademark-exam-guide-2021:tmeg-02-01-01；trademark-exam-guide-2021:tmeg-02-01-02；trademark-exam-guide-2021:tmeg-06-01-03-04；trademark-exam-guide-2021:tmeg-06-05-03-01,《商标注册用商品和服务国际分类》（尼斯分类）,,
权利转让合同,权利转让合同,转让合同,high,4,3,copyright-law-2020:cpl-03-02；copyright-law-2020:cpl-03-04；copyright-law-rules-2013:cplr-25；examination-guideline:05-01-07,权利转让合同,,
申请人资格,申请人资格,,high,4,1,trademark-exam-guide-2021:tmeg-04-01-03-01；trademark-exam-guide-2021:tmeg-04-02-10-02；trademark-exam-guide-2021:tmeg-04-02-11-02；trademark-exam-guide-2021:tmeg-04-02-12-03,申请人资格,,
实际损失,实际损失,,high,4,4,anti-unfair-competition-2025:aucl-04-01；copyright-law-2020:cpl-05-06；ic-layout-regulations-2026:icld-05-03；patent-law:law-07-08,因被侵权所受到的实际损失,,
授权品种,授权品种,,high,4,1,plant-variety-regulations-2025:pvpr-01-06；plant-variety-regulations-2025:pvpr-02-01；plant-variety-regulations-2025:pvpr-02-06；plant-variety-regulations-2025:pvpr-06-02,被授予品种权的植物新品种（以下称授权品种）,,
书面审查原则,书面审查原则,,high,4,2,examination-guideline:01-01-02；examination-guideline:01-02-02；examination-guideline:01-03-02；trademark-exam-guide-2021:tmeg-01-01-02-01,审查员应当以申请人提交的书面文件为基础进行审查,,
先申请原则,先申请原则,,high,4,3,examination-guideline:02-03-05；examination-guideline:03-02-02；patent-law:law-01-09；plant-variety-regulations-2025:pvpr-02-04,那么根据先申请原则，申请人就不能取得专利权,,
相关技术,相关技术,关联技术；改进前的方案,high,4,2,chemistry-drafting-rules:chem-01-04-03；chemistry-drafting-rules:chem-02-03-02；mechanical-drafting-rules:mech-01-03-03；mechanical-drafting-rules:mech-01-03-05,建议使用“相关技术”、“关联技术”或“改进前的方案”,,
修改权,修改权,,high,4,2,copyright-law-2020:cpl-02-01-02；copyright-law-2020:cpl-02-03-01；copyright-law-2020:cpl-03-06；copyright-law-rules-2013:cplr-15,修改权，即修改或者授权他人修改作品的权利,,
许可使用合同,许可使用合同,,high,4,3,copyright-law-2020:cpl-03-01；copyright-law-2020:cpl-03-04；copyright-law-rules-2013:cplr-23；ip-evidence-rules-2020:ipev-32,许可使用合同,,
许诺销售,许诺销售,,high,4,3,infringement-guide:infr-05-01；patent-law:law-01-11；patent-law:law-07-12；plant-variety-regulations-2025:pvpr-07-05,在销售侵犯他人专利权的产品行为实际发生前，被诉侵权人作出销售侵犯他人专利权产品,,
延长期限请求费,延长期限请求费,,high,4,2,examination-guideline:05-02-01；examination-guideline:05-07-04；implementation-rules:rule-10-01；implementation-rules:rule-10-07,延长期限请求费的缴纳期限是在相应期限届满之日前,,
要求优先权声明,要求优先权声明,优先权声明,high,4,2,examination-guideline:01-01-06-02；examination-guideline:03-01-05-02；examination-guideline:06-02-06-02；patent-law:law-03-05,申请人要求优先权的，应当在提出专利申请的同时在请求书中声明,,
依赖遗传资源完成的发明创造,依赖遗传资源完成的发明创造,,high,4,3,examination-guideline:02-01-03；examination-guideline:02-10-09-05；implementation-rules:rule-02-13；patent-law:law-03-01,专利法所称依赖遗传资源完成的发明创造，是指利用了遗传资源的遗传功能完成的发明创造,,
